Ni 1.570 1.240 0.195 -8.125 7.639 1.910 -1.271 10 0.808 4.62 1.28
Cu 1.830 1.320 0.185 -5.473 7.726 1.900 -2.626 11 0.893 0.52 0.58
Zn 1.150 1.220 0.175 -3.621 9.394 1.650 -4.639 12 1.102 0.55 0.01
Zr -0.920 1.750 0.540 -8.071 6.634 1.330 0.782 4 1.815 0.91 1.11
Nb -0.800 1.640 0.510 -8.448 6.758 1.600 -0.348 5 1.634 0.48 0.71
Mo -0.960 1.540 0.490 -6.177 7.092 2.160 -0.280 6 1.416 1.84 1.38
Tc -0.390 1.470 0.455 -7.595 7.275 1.900 -0.745 7 1.330 2.11 1.97
Ru -0.460 1.420 0.450 -7.851 7.361 2.220 -0.454 8 0.918 3.06 0.69
Rh -0.230 1.420 0.420 -7.976 7.459 2.280 -0.436 9 0.675 4.48 0.61
Pd 1.880 1.390 0.400 -6.270 8.337 2.200 -2.407 10 0.680 3.27 0.06
Ag 1.120 1.450 0.385 -2.438 7.576 1.930 -4.026 11 0.845 0.07 0.68
Cd -0.090 1.440 0.370 -1.185 8.994 1.690 -1.685 12 1.050 0.14 2.60
Hf -1.180 1.750 0.630 -9.796 6.824 1.300 0.737 4 1.552 1.11 2.70
Ta -1.100 1.700 0.605 -9.378 7.887 1.500 0.171 5 1.605 2.05 2.52
W -1.350 1.620 0.590 -7.877 7.980 2.360 -0.092 6 1.575 2.12 1.67
Os -0.770 1.440 0.543 -8.490 8.706 2.200 -0.756 8 0.985 3.59 0.93
Ir -0.330 1.410 0.526 -8.957 9.121 2.200 -1.307 9 0.836 3.58 0.60
Pt 1.490 1.360 0.510 -8.393 9.017 2.280 -1.265 10 0.712 1.76 0.14
Au 2.250 1.360 0.488 -3.789 9.225 2.540 -2.734 11 0.896 0.03 0.73
Ti -0.424 1.600 0.280 -9.150 6.827 1.540 0.792 4 1.400 1.16 2.95
V -0.030 1.530 0.260 -8.780 6.746 1.630 0.436 5 1.267 2.21 1.90
Cr 0.427 1.390 0.250 -7.821 6.766 1.660 0.783 6 1.212 2.27 0.94
Mn 0.473 1.390 0.230 -7.683 7.434 1.550 -0.402 7 1.217 2.62 2.91
Fe 0.315 1.320 0.220 -8.671 7.902 1.830 -0.270 8 0.993 4.06 1.14
Co 0.396 1.260 0.210 -8.837 7.880 1.880 -0.561 9 0.836 5.58 0.25
Ni 1.763 1.240 0.195 -8.840 7.639 1.910 -1.480 10 0.802 4.78 1.07
Cu 1.971 1.320 0.185 -6.165 7.726 1.900 -2.614 11 0.893 0.46 0.57
Zn 1.378 1.220 0.175 -4.577 9.394 1.650 -4.841 12 1.116 0.52 0.02
Zr -0.936 1.750 0.540 -8.530 6.634 1.330 1.307 4 1.462 0.08 1.05
Nb -0.567 1.640 0.510 -8.899 6.758 1.600 -0.305 5 1.535 0.22 1.26
Mo -0.526 1.540 0.490 -7.286 7.092 2.160 0.138 6 1.273 2.47 2.36
Tc -0.267 1.470 0.455 -8.365 7.275 1.900 -0.343 7 1.206 3.22 1.72
Ru -0.490 1.420 0.450 -8.703 7.361 2.220 -0.542 8 0.910 3.36 1.19
Rh -0.085 1.420 0.420 -8.962 7.459 2.280 -0.230 9 0.651 4.67 0.37
Pd 1.912 1.390 0.400 -6.919 8.337 2.200 -1.406 10 0.679 2.76 0.07
Ag 2.048 1.450 0.385 -3.331 7.576 1.930 -4.020 11 0.773 0.03 0.45
Cd 0.245 1.440 0.370 -2.291 8.994 1.690 -2.120 12 1.069 0.43 0.01
Hf -1.127 1.750 0.630 -9.987 6.824 1.300 0.453 4 1.571 0.54 2.16
Ta -1.092 1.700 0.605 -9.573 7.887 1.500 0.120 5 1.605 1.01 1.94
W -0.951 1.620 0.590 -8.916 7.980 2.360 0.061 6 1.483 2.00 2.25
